"Service","VPC($)","Glue($)","Tax($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Security Hub($)","EC2-Other($)","Elastic File System($)","Redshift($)","CloudWatch($)","Config($)","GuardDuty($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Key Management Service($)","CodePipeline($)","CodeBuild($)","SNS($)","Glacier($)","Step Functions($)","CloudTrail($)","Simple Workflow Service($)","Lambda($)","SQS($)","CloudWatch Events($)","Total costs($)"
"Service total","287.1707595714","275.84430016","257.93","158.325827005","64.3","61.4932308156","57.8873122697","48.8629182806","33.6636","30.6754060361","29.3110373607","28.090885494","17.880974531","13.356","12.9625676383","1.0055530887","0.3674412848","0.184872","0.048","0.04","0.0010841068","0.0000677993","0.0000160797","0.000016","0.00000775","0","0","0","1379.4018772717"
"2025-03-01","287.1707595714","275.84430016","257.93","158.325827005","64.3","61.4932308156","57.8873122697","48.8629182806","33.6636","30.6754060361","29.3110373607","28.090885494","17.880974531","13.356","12.9625676383","1.0055530887","0.3674412848","0.184872","0.048","0.04","0.0010841068","0.0000677993","0.0000160797","0.000016","0.00000775","0","0","0","1379.4018772717"
